Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),21:00,08:05,11h 05m,INR 609,23 Seats available,"4.4
452",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Non A/C Seater / Sleeper (2+1),21:15,07:45,10h 30m,INR 500,23 Seats available,"4.2
426",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,INR 900,18 Seats available,"4.1
502",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIndumati Travels,A/C Sleeper (2+1),22:00,08:30,10h 30m,902,22 Seats available,"4.1
389",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 900,24 Seats available,"4.0
553",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,INR 900,17 Seats available,"4.3
667",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,INR 1000,29 Seats available,"4.1
512",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdGogte Anand Travels,Volvo Multi-Axle I-Shift A/C Sleeper (2+1),23:30,10:25,10h 55m,INR 1000,18 Seats available,"4.6
75",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Gogte Travels,NON A/C Sleeper (1+2),19:30,08:45,13h 15m,INR 699,23 Seats available,"4.0
302",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,A/C Sleeper (2+1),21:30,08:45,11h 15m,INR 909,25 Seats available,"4.2
435",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,07:00,12h 00m,INR 800,20 Seats available,"3.1
303",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),20:30,06:30,10h 00m,INR 609,39 Seats available,"4.6
438",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,INR 900,17 Seats available,"4.3
654",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Laxmi-Princess Nova,Non A/C Seater / Sleeper (2+1),19:00,06:30,11h 30m,INR 500,25 Seats available,"4.0
255",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Non A/C Seater / Sleeper (2+1),20:00,06:30,10h 30m,INR 500,39 Seats available,"4.4
563",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,A/C Sleeper (2+1),18:00,04:00,10h 00m,INR 909,23 Seats available,"4.5
404",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),19:00,05:00,10h 00m,INR 909,23 Seats available,"4.3
176",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),18:30,05:25,10h 55m,INR 1009,26 Seats available,"4.4
335",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 1000,26 Seats available,"4.0
473",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Indumati Travels,A/C Sleeper (2+1),21:00,07:00,10h 00m,INR 900,22 Seats available,"4.1
384",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),21:32,07:02,09h 30m,INR 900,14 Seats available,"4.7
699",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Volvo Multi-Axle Sleeper A/C (2+1),22:45,09:55,11h 10m,INR 1000,27 Seats available,"4.1
37",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,NON A/C Sleeper (2+1),17:46,06:01,12h 15m,INR 699,22 Seats available,"4.0
324",https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
